iter	Logloss
0	0.6018179881
1	0.5020757041
2	0.4472474738
3	0.4028685546
4	0.3674732094
5	0.3397844488
6	0.312121618
7	0.2917501427
8	0.274903951
9	0.2575190993
10	0.2473690113
11	0.2377532703
12	0.2279310512
13	0.2212511281
14	0.2100357139
15	0.2025732446
16	0.1942300918
17	0.1877936594
18	0.1832380173
19	0.1797365223
20	0.1766269391
21	0.172483397
22	0.1681075631
23	0.1659676945
24	0.1636304911
25	0.1615296977
26	0.1591233173
27	0.1572188101
28	0.1557160479
29	0.1541992272
30	0.1527116839
31	0.1511749813
32	0.1495154767
33	0.1482198541
34	0.1447921417
35	0.1437618482
36	0.1428307513
37	0.1418334892
38	0.1405886046
39	0.1393058547
40	0.1385383571
41	0.1375508698
42	0.1359834703
43	0.1347066253
44	0.1327071251
45	0.1316579452
46	0.1304422043
47	0.129983475
48	0.1295420474
49	0.129079037
50	0.128528374
51	0.1280240881
52	0.1272416821
53	0.1265524785
54	0.1258799483
55	0.1248606677
56	0.124219574
57	0.1240464398
58	0.1227507403
59	0.122170665
60	0.121374758
61	0.1209072019
62	0.1199988324
63	0.1195721968
64	0.1189144215
65	0.1184757487
66	0.1175421274
67	0.1171331079
68	0.1167716454
69	0.1164176702
70	0.1159721704
71	0.1149654378
72	0.1146389002
73	0.1137309073
74	0.113210538
75	0.1129751799
76	0.1127095792
77	0.1123922433
78	0.111933297
79	0.1116738523
80	0.1110018133
81	0.1106333377
82	0.1103000418
83	0.1100670129
84	0.109517036
85	0.1091565373
86	0.1089288777
87	0.1086897089
88	0.1079204753
89	0.1076574844
90	0.1074576647
91	0.1071639713
92	0.1068062105
93	0.1063959415
94	0.1062471402
95	0.1060155419
96	0.1054579105
97	0.1052287375
98	0.1044547218
99	0.1040010076
100	0.1037369102
101	0.1035270267
102	0.1032068538
103	0.1029124589
104	0.1027378406
105	0.1024899722
106	0.1023395973
107	0.1022211375
108	0.1019231539
109	0.1018209384
110	0.1017366919
111	0.1013891471
112	0.1011711616
113	0.1009667705
114	0.100724683
115	0.1005745193
116	0.1003338302
117	0.1000930997
118	0.09994691322
119	0.09969318091
120	0.09944954191
121	0.0993088118
122	0.0990104554
123	0.09881045013
124	0.09866779957
125	0.09851723225
126	0.09832767156
127	0.09815161953
128	0.09796708679
129	0.09774740365
130	0.09770249889
131	0.09761883593
132	0.09742048436
133	0.09733650224
134	0.09720550076
135	0.09706432753
136	0.09651697851
137	0.09631823893
138	0.09619666704
139	0.09590479549
140	0.0958550539
141	0.09585420779
142	0.09570257558
143	0.09551808373
144	0.09532953336
145	0.09501647466
146	0.0948965356
147	0.09464020702
148	0.09456755291
149	0.09416211377
150	0.09412146432
151	0.09395850948
152	0.09385916645
153	0.09382631195
154	0.09371896398
155	0.09365083937
156	0.0935908601
157	0.09346883406
158	0.0933699256
159	0.09317421759
160	0.09296768365
161	0.09287333822
162	0.09273880886
163	0.09263258545
164	0.09256648625
165	0.09229541483
166	0.09209944907
167	0.09155310539
168	0.09138423441
169	0.09130541046
170	0.0911715587
171	0.09107307631
172	0.09099027447
173	0.0908929028
174	0.0903862297
175	0.09008940582
176	0.08995704665
177	0.08986387256
178	0.08964043278
179	0.08953624932
180	0.08942358621
181	0.08932404355
182	0.08923815068
183	0.08898246082
184	0.08883180661
185	0.08874505694
186	0.08864096815
187	0.08857304953
188	0.08841475412
189	0.08828691549
190	0.08819741692
191	0.08814403055
192	0.08803552226
193	0.08794111535
194	0.08782798019
195	0.08770674439
196	0.08763072933
197	0.08757142064
198	0.08743411957
199	0.08730804713
200	0.08727057376
201	0.08718321398
202	0.08708217831
203	0.08698073089
204	0.08688288783
205	0.08681916903
206	0.08672381006
207	0.08660092907
208	0.08653901733
209	0.0864941311
210	0.08623366962
211	0.0861681895
212	0.08611669309
213	0.08604089105
214	0.08595558702
215	0.08588581463
216	0.08572892378
217	0.08567434787
218	0.08548911059
219	0.08541175536
220	0.0853098289
221	0.0852564052
222	0.08501739725
223	0.08496961323
224	0.08490403489
225	0.08485867234
226	0.08476675157
227	0.08471458882
228	0.0845853247
229	0.08450456462
230	0.08420312242
231	0.08410685788
232	0.08407639259
233	0.08403803249
234	0.08399298003
235	0.08377128601
236	0.08374549673
237	0.08369124841
238	0.08352455672
239	0.08347619458
240	0.08342335289
241	0.08335867099
242	0.08334409596
243	0.08328372905
244	0.0832249687
245	0.08302673569
246	0.08295909217
247	0.08292719739
248	0.08284558016
249	0.08278370353
250	0.08264576483
251	0.08253079338
252	0.08247692078
253	0.08241211268
254	0.08238914768
255	0.0823065214
