iter	Passed	Remaining
485	4970	5256
486	4980	5246
487	4990	5235
488	4999	5224
489	5008	5213
490	5018	5202
491	5028	5191
492	5037	5180
493	5046	5169
494	5055	5158
495	5065	5147
496	5075	5137
497	5085	5126
498	5095	5116
499	5105	5105
500	5116	5096
501	5132	5091
502	5145	5083
503	5154	5072
504	5164	5062
505	5173	5050
506	5182	5039
507	5191	5028
508	5200	5016
509	5209	5004
510	5218	4994
511	5228	4983
512	5237	4971
513	5246	4960
514	5254	4948
515	5264	4938
516	5276	4929
517	5285	4918
518	5296	4908
519	5305	4897
520	5314	4886
521	5328	4879
522	5340	4870
523	5350	4860
524	5359	4849
525	5369	4838
526	5378	4827
527	5388	4816
528	5397	4805
529	5407	4795
530	5416	4783
531	5426	4773
532	5435	4762
533	5444	4750
534	5452	4739
535	5461	4727
536	5471	4717
537	5479	4705
538	5489	4695
539	5498	4683
540	5508	4673
541	5517	4662
542	5528	4653
543	5538	4642
544	5547	4631
545	5557	4620
546	5566	4610
547	5575	4598
548	5584	4587
549	5593	4576
550	5602	4565
551	5611	4554
552	5621	4544
553	5630	4532
554	5639	4521
555	5648	4510
556	5657	4499
557	5666	4488
558	5675	4477
559	5684	4466
560	5693	4455
561	5702	4444
562	5710	4432
563	5719	4421
564	5729	4411
565	5740	4401
566	5748	4390
567	5757	4378
568	5765	4367
569	5774	4355
570	5783	4344
571	5791	4333
572	5799	4322
573	5808	4311
574	5817	4299
575	5826	4288
576	5834	4277
577	5843	4266
578	5852	4255
579	5860	4243
580	5870	4233
581	5878	4222
582	5887	4211
583	5895	4199
584	5905	4189
585	5913	4177
586	5922	4166
587	5933	4157
588	5941	4145
589	5951	4135
590	5961	4125
591	5970	4114
592	5982	4105
593	5992	4095
594	6006	4088
595	6017	4078
596	6027	4068
597	6036	4057
598	6047	4048
599	6056	4037
600	6065	4027
601	6074	4016
602	6084	4005
603	6093	3994
604	6104	3985
605	6114	3975
606	6123	3964
607	6133	3954
608	6142	3943
609	6151	3933
610	6161	3922
611	6170	3912
612	6180	3901
613	6188	3890
614	6198	3880
615	6208	3870
616	6219	3860
617	6233	3852
618	6246	3844
619	6255	3834
620	6265	3823
621	6274	3813
622	6283	3802
623	6294	3792
624	6303	3782
625	6312	3771
626	6321	3760
627	6331	3750
628	6341	3740
629	6350	3729
630	6359	3719
631	6368	3708
632	6376	3697
633	6387	3687
634	6396	3676
635	6405	3666
636	6415	3655
637	6424	3645
638	6433	3634
639	6443	3624
640	6453	3614
641	6463	3604
642	6472	3593
643	6482	3583
644	6492	3573
645	6501	3562
646	6511	3552
647	6521	3542
648	6530	3532
649	6540	3521
650	6550	3511
651	6559	3500
652	6568	3490
653	6577	3479
654	6586	3468
655	6596	3458
656	6605	3448
657	6614	3437
658	6623	3427
659	6630	3415
660	6639	3405
661	6653	3396
662	6663	3386
663	6671	3376
664	6683	3366
665	6692	3356
666	6702	3346
667	6713	3336
668	6724	3327
669	6733	3316
670	6743	3306
671	6753	3296
672	6763	3286
673	6773	3276
674	6782	3265
675	6791	3255
676	6801	3244
677	6810	3234
678	6820	3224
679	6829	3213
680	6838	3203
681	6847	3192
682	6857	3182
683	6866	3172
684	6874	3161
685	6884	3151
686	6894	3141
687	6904	3131
688	6914	3121
689	6924	3110
690	6932	3100
691	6942	3090
692	6952	3080
693	6960	3069
694	6970	3058
695	6978	3048
696	6988	3038
697	6997	3027
698	7006	3017
699	7016	3007
700	7025	2996
701	7035	2986
702	7044	2976
703	7053	2965
704	7062	2955
705	7071	2944
706	7080	2934
707	7090	2924
708	7099	2913
709	7108	2903
710	7117	2893
711	7126	2882
712	7136	2872
713	7147	2862
714	7157	2853
715	7166	2842
716	7175	2832
717	7184	2821
718	7193	2811
719	7202	2801
720	7212	2790
721	7221	2780
722	7230	2770
723	7240	2760
724	7251	2750
725	7260	2740
726	7270	2730
727	7279	2719
728	7288	2709
729	7298	2699
730	7307	2689
731	7317	2678
732	7325	2668
733	7335	2658
734	7347	2648
735	7355	2638
736	7365	2628
737	7374	2617
738	7383	2607
739	7392	2597
740	7401	2587
741	7411	2576
742	7420	2566
743	7429	2556
744	7438	2546
745	7448	2536
746	7458	2526
747	7467	2515
748	7477	2505
749	7486	2495
750	7496	2485
751	7505	2475
752	7514	2465
753	7524	2454
754	7534	2444
755	7543	2434
756	7554	2424
757	7564	2414
758	7572	2404
759	7582	2394
760	7591	2384
761	7599	2373
762	7609	2363
763	7619	2353
764	7628	2343
765	7638	2333
766	7646	2322
767	7656	2312
768	7665	2302
769	7674	2292
770	7683	2282
771	7692	2271
772	7700	2261
773	7710	2251
774	7719	2241
775	7728	2230
776	7737	2220
777	7746	2210
778	7757	2200
779	7766	2190
780	7775	2180
781	7784	2170
782	7793	2159
783	7802	2149
784	7812	2139
785	7821	2129
786	7831	2119
787	7839	2109
788	7848	2098
789	7857	2088
790	7866	2078
791	7875	2068
792	7883	2057
793	7893	2047
794	7901	2037
795	7911	2027
796	7920	2017
797	7929	2007
798	7937	1996
799	7946	1986
800	7955	1976
801	7964	1966
802	7973	1956
803	7982	1945
804	7990	1935
805	7999	1925
806	8008	1915
807	8017	1905
808	8026	1895
809	8035	1884
810	8044	1874
811	8053	1864
812	8062	1854
813	8072	1844
814	8080	1834
815	8090	1824
816	8099	1814
817	8109	1804
818	8118	1794
819	8128	1784
820	8137	1774
821	8147	1764
822	8158	1754
823	8167	1744
824	8177	1734
825	8187	1724
826	8196	1714
827	8206	1704
828	8216	1694
829	8225	1684
830	8234	1674
831	8243	1664
832	8252	1654
833	8261	1644
834	8270	1634
835	8279	1624
836	8289	1614
837	8298	1604
838	8308	1594
839	8318	1584
840	8327	1574
841	8336	1564
842	8346	1554
843	8357	1544
844	8367	1534
845	8376	1524
846	8385	1514
847	8394	1504
848	8404	1494
849	8413	1484
850	8422	1474
851	8431	1464
852	8440	1454
853	8450	1444
854	8458	1434
855	8466	1424
856	8476	1414
857	8485	1404
858	8494	1394
859	8503	1384
860	8512	1374
861	8521	1364
862	8530	1354
863	8539	1344
864	8549	1334
865	8558	1324
866	8570	1314
867	8579	1304
868	8589	1294
869	8598	1284
870	8608	1274
871	8617	1264
872	8626	1254
873	8635	1244
874	8644	1234
875	8653	1224
876	8661	1214
877	8670	1204
878	8679	1194
879	8688	1184
880	8697	1174
881	8707	1164
882	8716	1154
883	8725	1144
884	8735	1135
885	8744	1125
886	8753	1115
887	8763	1105
888	8774	1095
889	8785	1085
890	8792	1075
891	8802	1065
892	8810	1055
893	8819	1045
894	8829	1035
895	8838	1025
896	8845	1015
897	8854	1005
898	8863	995
899	8873	985
900	8883	976
901	8893	966
902	8901	956
903	8909	946
904	8917	936
905	8924	925
906	8932	915
907	8939	905
908	8949	895
909	8961	886
910	8970	876
911	8981	866
912	8990	856
913	9000	846
914	9010	837
915	9019	827
916	9029	817
917	9040	807
918	9049	797
919	9059	787
920	9068	777
921	9077	767
922	9086	758
923	9096	748
924	9105	738
925	9115	728
926	9124	718
927	9132	708
928	9140	698
929	9150	688
930	9159	678
931	9168	668
932	9178	659
933	9195	649
934	9204	639
935	9214	630
936	9224	620
937	9233	610
938	9243	600
939	9251	590
940	9261	580
941	9270	570
942	9279	560
943	9287	550
944	9296	541
945	9305	531
946	9317	521
947	9326	511
948	9335	501
949	9345	491
950	9354	481
951	9363	472
952	9373	462
953	9382	452
954	9393	442
955	9402	432
956	9413	422
957	9424	413
958	9433	403
959	9442	393
960	9451	383
961	9461	373
962	9470	363
963	9479	353
964	9488	344
965	9497	334
966	9507	324
967	9517	314
968	9527	304
969	9536	294
970	9545	285
971	9554	275
972	9564	265
973	9571	255
974	9583	245
975	9594	235
976	9602	226
977	9612	216
978	9621	206
979	9630	196
980	9639	186
981	9648	176
982	9657	167
983	9666	157
984	9675	147
985	9685	137
986	9694	127
987	9704	117
988	9713	108
989	9722	98
990	9732	88
991	9741	78
992	9750	68
993	9759	58
994	9769	49
995	9779	39
996	9789	29
997	9798	19
998	9809	9
999	9818	0
